[GIN] 2026/06/19 - 07:11:09 | 200 |      24.579ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     24.3473ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     15.1049ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     24.2608ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     15.0866ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     17.6185ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     15.0649ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     23.0858ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     15.0523ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     24.1712ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     14.3554ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |      13.441ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |      15.139ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     23.5676ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     15.0233ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     23.2615ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     13.5324ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     14.5386ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     23.7466ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     25.4292ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     15.0421ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     15.1052ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:30:25 | 200 |    900.7944ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:30:25 | 200 |     18.1771ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     25.4304ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     16.5332ms |       127.0.0.1 | POST     "/api/embed"
